Question,Answer
Is the offence under Section 224 cognisable?,"Yes, it is cognisable."
What is Section 225 about?,"It deals with resistance or obstruction to the lawful apprehension of any person, or rescuing him from lawful custody."
What is the punishment if the person is charged with a capital offence under Section 225?,Imprisonment for 7 years and fine.
What is the punishment under Section 225 if the person is under sentence of death?,Imprisonment for life or 10 years and fine.
What is Section 225-A about?,"Omission to apprehend, or sufferance of escape by a public servant in cases not otherwise provided for."
What is the punishment for intentional omission under Section 225-A?,"Imprisonment for 3 years, or fine, or both."
What is the punishment for negligent omission under Section 225-A?,"Simple imprisonment for 2 years, or fine, or both."
What does Section 225-B deal with?,"Resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for."
What is the punishment under Section 225-B?,"Imprisonment for 6 months, or fine, or both."
What is Section 227 about?,Violation of the condition of remission of punishment.
What is the punishment under Section 227?,"The original sentence, or the residue of the sentence if part has been served."
What offence is described under Section 228?,Intentional insult or interruption to a public servant in a judicial proceeding.
What is the punishment under Section 228?,"Simple imprisonment for 6 months, or fine of â¹1000, or both."
Is Section 228 a bailable offence?,"Yes, it is bailable."
What is Section 228-A about?,Disclosure of identity of the victim of certain offences.
What is the punishment under Section 228-A?,Imprisonment for 2 years and fine.
What is Section 229 related to?,Personation of a juror or assessor.
What is the punishment under Section 229?,"Imprisonment for 2 years, or fine, or both."
What does Section 229-A cover?,Failure by person released on bail or bond to appear in Court.
What is the punishment under Section 229-A?,"Imprisonment for 1 year, or fine, or both."
What offence is mentioned under Section 231?,Counterfeiting or performing any part of the process of counterfeiting coin.
What is the punishment under Section 231?,Imprisonment for 7 years and fine.
What is the punishment under Section 232 for counterfeiting Indian coin?,Imprisonment for life or 10 years and fine.
What does Section 233 address?,"Making, buying, or selling instruments for counterfeiting coin."
What is the punishment under Section 233?,Imprisonment for 3 years and fine.
What is the punishment under Section 234 for such acts relating to Indian coin?,Imprisonment for 7 years and fine.
What happens if an accused is not acquitted under Section 232?,He shall be called upon to enter on his defence and adduce any evidence in support thereof.
What may the Judge do if the accused files a written statement under Section 233?,The Judge shall file it with the record.
What must the Judge do if the accused requests issuance of process for witnesses or documents?,"The Judge shall issue such process unless he believes it is made for vexation, delay, or to defeat justice."
What happens after the defence evidence is completed under Section 234?,"The prosecutor sums up the case, and the accused or his pleader is entitled to reply."
Under what condition can the prosecution address a legal point after defence arguments?,"With the Judgeâs permission, if the defence raises a legal point."
What is required from the Judge after hearing arguments and law points?,The Judge shall deliver a judgment of acquittal or conviction.
What is the procedure if the accused is convicted under Section 235?,The Judge shall hear the accused on the sentence and then pass it according to law.
What does Section 236 deal with?,Procedure in cases involving a previous conviction.
When can the Judge consider the previous conviction charge?,Only after the accused has been convicted under Section 229 or Section 235.
When is Section 237 applicable?,In cases instituted otherwise than on a police report before a Court of Session.
What may the Judge do if there is no sufficient ground for proceeding?,Discharge the accused.
What is the purpose of Section 238?,To ensure compliance with Section 207 when the accused appears in a warrant-case from police report.
What must the Magistrate do at the commencement of such trial?,Confirm that the accused received all documents under Section 207.
What does the Magistrate do if the charge is deemed groundless?,Discharge the accused and record the reasons.
What is the procedure under Section 240 if a prima facie case exists?,The Magistrate frames a charge in writing and reads it to the accused.
What are the options given to the accused after the charge is read?,He may plead guilty or claim to be tried.
What is Section 241 about?,Conviction on a plea of guilty.
What is the Magistrateâs discretion upon a guilty plea under Section 241?,He may convict the accused based on the plea.
What is the next step if the accused does not plead guilty under Section 242?,The Magistrate fixes a date for examining witnesses.
"What provision was added by the CrPC (Amendment) Act, 2008 in Section 242?",That the Magistrate must supply witness statements recorded during investigation to the accused.
Can the Magistrate defer cross-examination under Section 242?,"Yes, cross-examination may be deferred or witnesses recalled."
What is the role of the accused under Section 243?,The accused is called upon to enter upon his defence and may produce evidence and written statements.
Can the accused request witnesses or documents under Section 243?,"Yes, and the Magistrate shall issue such process unless it's for vexation, delay, or defeating justice."
When does Section 244 apply?,In warrant-cases instituted otherwise than on a police report.
What must the Magistrate do when the accused appears in such a case?,Hear the prosecution and take all such evidence produced in support of the prosecution.
What is the Magistrateâs duty under Section 245(1)?,Discharge the accused if no case is made out that would warrant his conviction.
Can a Magistrate discharge the accused before all evidence is taken?,"Yes, under Section 245(2) if the charge appears groundless at any stage."
What happens if the accused is not discharged under Section 246?,The Magistrate frames a written charge.
What are the steps after framing a charge under Section 246?,The charge is read and explained; the accused pleads guilty or claims trial.
What if the accused pleads guilty?,The Magistrate may convict him.
What happens if the accused does not plead guilty under Section 246?,The accused can cross-examine witnesses and the remaining prosecution evidence is taken.
What does Section 247 address?,Evidence for the defence after the prosecution is concluded.
What provisions apply to defence evidence under Section 247?,Provisions of Section 243 apply.
What is stated under Section 248(1)?,"If the Magistrate finds the accused not guilty, he shall record an order of acquittal."
What happens if the accused is found guilty under Section 248(2)?,The Magistrate hears the accused on sentence and then passes sentence.
What is Section 249 about?,Discharge of accused in absence of complainant in cases instituted otherwise than on police report.
When can a Magistrate discharge the accused under Section 249?,If the complainant is absent and the offence is compoundable or not cognisable.
What is the purpose of Section 250?,Compensation for accusation without reasonable cause.
What is the Magistrate empowered to do under Section 250(1)?,Order the complainant or informant to pay compensation to the accused.
What must the Magistrate record before awarding compensation?,Reasons showing that the accusation was false and frivolous or vexatious.
What is the maximum compensation allowed under Section 250(2)?,"Up to â¹1,000, or more if specially empowered by the State Government."
Can the order for compensation be appealed?,"Yes, under Section 250(3), an appeal lies against the order as if it were a sentence."
What does Section 311 of CrPC empower the Court to do?,"The Court may summon any person as a witness, or recall and re-examine any person already examined, if their evidence is essential to the just decision of the case."
Can the Court act under Section 311 at any stage of the trial?,"Yes, it can be done at any stage of any inquiry, trial, or other proceeding."
What is the purpose of Section 311A?,"It allows a Magistrate of the first class to order a person, including the accused, to give specimen signatures or handwriting during an investigation or proceeding."
What condition must be met for issuing an order under Section 311A?,The person must have been arrested at some time in connection with the investigation or proceeding.
What does Section 312 cover?,It provides for payment of reasonable expenses to complainants or witnesses by the government.
What is the purpose of Section 313 of CrPC?,It enables the accused to explain personally any circumstances appearing in the evidence against him.
When must the Court examine the accused under Section 313?,After prosecution witnesses have been examined and before calling the accused for defence.
Is the accused administered an oath during examination under Section 313?,"No, the accused is not administered an oath."
Can the accused refuse to answer questions under Section 313?,"Yes, and he is not liable to punishment for refusal or false answers."
What does Section 314 relate to?,Oral arguments and submission of written memorandum of arguments.
Can a party submit written arguments under Section 314?,"Yes, they can submit a memorandum which becomes part of the court record."
What is provided under Section 315?,"The accused is competent to be a witness for the defence, but only on their own written request."
Can failure to testify be used against the accused under Section 315?,"No, it cannot be commented upon or give rise to any presumption."
What does Section 316 address?,"It allows the accused to cross-examine any prosecution witness even after defence evidence begins, with Courtâs permission."
What is the subject of Section 317?,Provision for inquiries and trials in the absence of the accused under certain conditions.
When can the Magistrate proceed without the accused under Section 317?,If the personal attendance of the accused is not necessary in the interests of justice or if he disrupts proceedings.
What does Section 318 cover?,Procedure when the accused does not understand the proceedings.
What must the Court do if the accused cannot understand proceedings under Section 318?,Postpone the inquiry or trial and take necessary steps to enable the accused to understand.
What is the purpose of Section 319?,It allows the Court to proceed against persons not initially accused if evidence arises during the trial indicating their involvement.
Can a person be summoned as an accused under Section 319 after trial begins?,"Yes, based on evidence appearing in the course of any inquiry or trial."
What does Section 263 relate to in CrPC?,It relates to the record in summary trials.
What particulars must be recorded in summary trials under Section 263?,"Case number, offence date, report date, complainant and accused details, offence proved, plea, finding, sentence, and termination date."
What does Section 264 mandate for summary trials?,The Magistrate must record the substance of evidence and a brief judgment with reasons if the accused does not plead guilty.
In what language must records and judgments be written under Section 265?,In the language of the Court.
Can a Magistrate delegate record writing in summary cases?,"Yes, the High Court may authorize a Magistrate to do so through a designated officer."
What does Chapter XXI-A of CrPC introduce?,It introduces the concept of Plea Bargaining.
What is Section 265A about?,It specifies the application of plea bargaining to certain offences.
Which offences are excluded from plea bargaining under Section 265A?,"Offences punishable with death, life imprisonment, or more than 7 years, or offences against women or children below 14."
What is Section 265B?,It lays down the procedure for filing an application for plea bargaining by the accused.
What must accompany a plea bargaining application?,An affidavit stating voluntariness and understanding of the nature and consequences of plea bargaining.
What does the Court do upon receiving a plea bargaining application?,Issues notice to the prosecutor/complainant and fixes a date for hearing both parties.
What is the procedure under Section 265C?,Guidelines for mutually satisfactory disposition between prosecution and accused.
Who participates in the mutually satisfactory disposition?,"The accused, victim, and investigating officer, if the offence is police-reported; or complainant and accused in other cases."
What is recorded after a satisfactory disposition is reached under Section 265D?,The Court records the disposition in writing and signs it with the participants.
What is Section 265E?,It deals with the disposal of the case in accordance with the mutually satisfactory disposition.
What are possible outcomes under Section 265E?,"Release on probation, fine, or compensation; or sentencing as per agreement, ensuring it doesnât exceed one-fourth of maximum punishment."
What does Section 265F state?,The judgment in a plea bargaining case must be delivered in open Court and signed by the Judge.
Is an appeal allowed against a judgment in plea bargaining?,"No, as per Section 265G, no appeal shall lie against such judgment."
What is the general rule for recording evidence under Section 273?,Evidence must be taken in the presence of the accused or their pleader.
"How is the evidence of a woman under 18, subjected to sexual offences, handled under Section 273?",The court shall ensure that the woman is not confronted by the accused while maintaining the right of cross-examination.
What does Section 274 deal with?,The recording of evidence in summons-cases and inquiries.
Who is responsible for recording such evidence under Section 274?,The Magistrate records a memorandum of the substance of each witness's evidence.
What is specified in Section 275(1)?,"In warrant cases before a Magistrate, the evidence is to be taken down in writing."
Who must sign the recorded evidence under Section 275?,The Magistrate who records it.
How should evidence be recorded in Sessions Court cases under Section 276?,The presiding Judge must record the evidence or direct a court officer to do so.
In what language should the evidence be recorded as per Section 277?,"Preferably in the language in which it is given, or the language of the Court."
What if the evidence is recorded in a different language than that of the Court?,A true translation must be prepared and signed by the Judge.
What is required after a witnessâs evidence is completed under Section 278?,It must be read over to the witness and corrected if necessary.
What happens if the witness disputes the recorded evidence?,"A memorandum of the objection is made, and remarks are added by the Judge."
What is the purpose of Section 279?,To ensure interpretation of evidence to the accused or their pleader when the language is not understood.
What must a Judge note during the witness examination under Section 280?,Remarks regarding the demeanor of the witness.
What does Section 281(1) require?,The Magistrate must make a memorandum of the examination of the accused.
What is done if the accused doesn't understand the language of the court?,The record is interpreted to them in a language they understand.
Is the accused required to sign the record under Section 281?,"Yes, the accused and the Magistrate must sign it."
What is stated in Section 282?,An interpreter is bound to interpret truthfully any evidence or statement in Court.
What does Section 283 of CrPC provide?,It allows every High Court to prescribe rules for recording evidence and examinations in cases before it.
When can a commission be issued under Section 284?,"When a witnessâs attendance cannot be procured without unreasonable delay, expense, or inconvenience."
What is mandatory when summoning high constitutional dignitaries like the President or Governor?,A commission shall be issued for their examination.
To whom is a commission directed when the witness is within India?,To the Chief Metropolitan Magistrate or Chief Judicial Magistrate.
Who receives the commission if the witness is outside India?,A Court or officer specified by the Central Government via notification.
How is a commission executed under Section 286?,"The Magistrate summons the witness and records their evidence, with powers similar to warrant case trials."
Are parties allowed to question witnesses in commissions?,"Yes, parties may send interrogatories and examine or cross-examine witnesses."
What happens after a commission is executed under Section 288?,"It is returned with depositions, open for inspection, and may be read as evidence."
Can depositions be used in future trials?,"Yes, if they meet the conditions of Section 33 of the Indian Evidence Act."
Can proceedings be adjourned for executing a commission?,"Yes, as per Section 289, the case can be adjourned for reasonable time."
What does Section 290 address?,It relates to the execution of foreign commissions based on reciprocity.
What is the short title of Act No. 45 of 1860?,The Indian Penal Code.
When was the Indian Penal Code enacted?,"On 6th October, 1860."
To what extent does the Indian Penal Code apply?,It extends to the whole of India except the State of Jammu and Kashmir.
Under which sections was the Indian Penal Code amended in 2006 and 2018?,"It was amended by The Criminal Law (Amendment) Act, 2005 (Act 2 of 2006) and The Criminal Law (Amendment) Act, 2018 (Act 22 of 2018)."
What is the purpose of the Indian Penal Code as mentioned in its preamble?,To provide a general Penal Code for India.
What does Section 2 of the Indian Penal Code state about punishment for offences committed within India?,Every person shall be liable to punishment under this Code for every act or omission contrary to its provisions.
What does Section 3 state about offences committed beyond India?,Any person liable by Indian law to be tried for an offence committed beyond India shall be dealt with as if the act were committed within India.
What does Section 4 state about extra-territorial offences?,"The Code applies to offences committed by Indian citizens abroad, persons on Indian-registered ships/aircraft, or offences targeting computer resources located in India."
What is an example given in the illustration under Section 4?,An Indian citizen committing murder in Uganda can be tried in India.
What does Section 5 state about laws not affected by the Indian Penal Code?,It does not affect provisions of any Act for punishing mutiny and desertion of officers/soldiers in service of the Government of India.
What does Section 6 state about definitions in the Code?,"Definitions are to be understood subject to exceptions in the ""General Exceptions"" chapter."
What is the example given in illustration (a) under Section 6?,A child under seven years cannot commit offences though not expressly stated in definitions.
What does Section 7 state about explained expressions?,Every explained expression is used throughout the Code in conformity with its explanation.
How does Section 8 define gender pronouns?,"The pronoun ""he"" and its derivatives are used for any person, whether male or female."
What does Section 9 state about singular and plural numbers?,"Words importing singular include plural, and plural includes singular unless context requires otherwise."
"How does Section 10 define ""man"" and ""woman""?","""Man"" denotes a male human of any age; ""woman"" denotes a female human of any age."
"What does Section 11 include in the definition of ""person""?","It includes any Company, Association or body of persons, whether incorporated or not."
"How does Section 12 define ""public""?",It includes any class of the public or any community.
"What does Section 14 define as ""servant of Government""?",Any officer or servant appointed or employed in India by or under the authority of Government.
"How does Section 17 define ""Government""?",It denotes the Central Government or the Government of a State.
"What does Section 18 define as ""India""?",The territory of India excluding the State of Jammu and Kashmir.
"How does Section 19 define ""Judge""?",It includes not only officially designated Judges but also persons empowered to give definitive judgments in legal proceedings.
What is example (d) under Section 19's illustrations?,A Magistrate who can only commit for trial to another Court is not a Judge.
"How does Section 20 define ""Court of Justice""?",A Judge empowered to act judicially alone or a body of Judges empowered to act judicially as a body.
What is the example given under Section 20's illustration?,A panchayat with power to try suits is a Court of Justice.
What is the full title of Act No. 45 of 1860?,"The Indian Penal Code, 1860."
On what date did the Indian Penal Code receive assent?,6th October 1860 (also the date of commencement).
Which regions were excluded from the Code's jurisdiction under Section 1?,*The State of Jammu and Kashmir (pre-2019 amendment)*.
Name two amendment acts that modified the IPC after 2000.,"The Criminal Law (Amendment) Act, 2005 (Act 2 of 2006) and The Criminal Law (Amendment) Act, 2018 (Act 22 of 2018)."
What is the legislative intent behind the IPC as per its preamble?,"""To provide a general Penal Code for India."""
"Under Section 2, can a person be punished under laws other than the IPC for acts in India?","No, Section 2 states punishment is only under the IPC for offences committed in India."
What is the key condition for trying extraterritorial offences under Section 3?,The offence must be triable under Indian law despite being committed outside India.
List the three scenarios where Section 4 applies to offences beyond India.,"*(1) Offences by Indian citizens abroad, (2) On Indian-registered ships/aircraft, (3) Cyber offences targeting Indian computer resources.*"
"How does the IPC define ""computer resource"" in Section 4?","*As per clause (k) of sub-section (1) of Section 2 of the Information Technology Act, 2000.*"
Does Section 5 override military laws like the Army Act?,"No, it explicitly preserves laws punishing mutiny/desertion in armed forces."
"Under Section 6, must exceptions like ""General Exceptions"" be repeated in every offence definition?","No, exceptions apply even if not repeated in definitions."
"In illustration (b) of Section 6, why is the police officer not guilty of wrongful confinement?",Because he was legally bound to apprehend the murderer (falls under general exceptions).
How does Section 7 ensure consistency in terminology?,Explained terms retain their meaning across the entire Code.
Does Section 8âs gender definition exclude non-binary individuals?,"The Code uses ""he"" for all genders but doesnât explicitly address non-binary identities."
"If a law mentions ""month"" under Section 9, which calendar applies?",The British calendar (Gregorian).
"How does Section 10 distinguish between ""man"" and ""woman""?",Purely by biological sex (male/female) without age restrictions.
"Can a corporation be prosecuted under Section 11âs definition of ""person""?","Yes, since it includes incorporated bodies."
"Does Section 12âs ""public"" require a minimum number of people?","No, even a single community or class qualifies."
"Are contractual employees covered under Section 14âs ""servant of Government""?","Yes, if appointed/employed under government authority."
"Under Section 17, does ""Government"" include local municipalities?","No, only Central and State Governments."
"What four criteria define a ""Judge"" under Section 19?","(1) Officially designated judges, (2) Persons empowered to give definitive judgments, (3) Bodies giving definitive judgments, (4) Panchayats with adjudicatory powers."
"Why is a Magistrate who can only commit cases to trial courts not a ""Judge"" per illustration (d)?",Because they lack authority to render definitive judgments.
"What is the test for a ""Court of Justice"" under Section 20?","Authority to act judicially, either individually or as a body."
"Name three categories of ""public servants"" under Section 21.","*(1) Commissioned military officers, (2) Judges, (3) Jurors/assessors assisting courts.*"
Does a Municipal Commissioner qualify as a public servant under Section 21?,"Yes, as per the illustration."
"How does Section 22 define ""movable property""?","Corporeal property (physical objects) excluding land, things attached to earth, or permanently fastened to attached objects."
"If a thief steals a tree planted in a garden, is it ""movable property"" under Section 22?","No, because itâs attached to the earth (immovable). But if cut down, it becomes movable."
"What constitutes ""wrongful gain"" under Section 23?",Gain by unlawful means of property to which the person is not legally entitled.
"How does Section 24 define ""dishonestly""?",Doing anything with intent to cause wrongful gain to one person or wrongful loss to another.
"If A forges a document to claim Bâs land, is this ""dishonestly"" under Section 24?","Yes, because A intends wrongful gain (land) and B suffers wrongful loss."
"What distinguishes ""fraudulently"" (Section 25) from ""dishonestly"" (Section 24)?","""Fraudulently"" requires intent to deceive, while ""dishonestly"" focuses on gain/loss."
"Under Section 26, when does a person have ""reason to believe""?",When they have sufficient cause to believe a fact (not mere suspicion).
"If a wife possesses stolen jewelry for her husband, is the husband liable under Section 27?","Yes, because possession by a spouse/clerk/servant is deemed possession by the principal."
"What is the mens rea requirement for ""counterfeiting"" under Section 28?",Intent to deceive OR knowledge that deception is likely (Explanation 2).
"Does a near-identical fake currency note qualify as ""counterfeiting"" if it lacks perfect resemblance?","Yes, per Explanation 1: Exact imitation is not required (Section 28)."
"How does Section 29 define ""document""?","Any matter expressed on any substance via letters/figures/marks, usable as evidence."
"Is a digital contract an ""electronic record"" under Section 29A?","Yes, as per the IT Act, 2000 (clause (t) of Section 2(1))."
"What makes a ""valuable security"" under Section 30?","A document creating/extending/transferring/restricting legal rights (e.g., a promissory note)."
"If X endorses a blank cheque, is it a ""valuable security""?","Yes, because it transfers rights to the holder (Section 30 illustration)."
How does Section 32 treat illegal omissions?,"Words referring to ""acts"" include illegal omissions unless context requires otherwise."
"If a doctor deliberately withholds treatment to cause death, is this an ""act"" under Section 32?","Yes, because illegal omissions are equivalent to acts."
"What is the difference between ""act"" and ""omission"" under Section 33?","""Act"" includes a single/series of actions; ""omission"" includes single/multiple failures to act."
"If three people jointly poison someone over days, is this a ""series of acts"" under Section 33?","Yes, and each dose contributes to the offence (illustrates ""series of acts"")."
How does Section 34 establish liability for common intention?,All participants in a criminal act with common intention are liable as if they acted alone.
"If A and B plan to rob a bank, but B kills a guard unexpectedly, is A liable for murder under Section 34?",Only if killing was a likely consequence of their common plan (depends on facts).
"Under Section 35, when is an act ""criminal by reason of knowledge/intention""?","When the act is only criminal due to the accusedâs knowledge/intent (e.g., trespass with intent to steal)."
"If X and Y burn a house, but only X knew someone was inside, is Y liable for murder under Section 35?","No, unless Y shared Xâs knowledge (requires individual culpability)."
How does Section 36 treat acts partly by omission?,Causing harm partly by act and partly by omission is equivalent to full commission.
"If A starves B while occasionally assaulting them, leading to death, is this murder under Section 36?","Yes, because the combined act/omission caused death (illustration applies)."
What is the rule for co-operation in offences under Section 37?,Intentionally co-operating in any act constituting the offence makes one liable for the whole offence.
"If P supplies poison to Q for murder, but Q uses a knife, is P liable under Section 37?","No, because Pâs co-operation (supplying poison) wasnât part of the actual offence (knife attack)."
Can co-conspirators face different charges for the same act under Section 38?,"Yes, if their intentions differ (e.g., A provokes, B plans murderâdifferent offences)."
"How does Section 39 define ""voluntarily""?","Causing an effect by intended means OR known-likely means (e.g., arson causing unintended death)."
"If a bomber targets a building but kills pedestrians, is death ""voluntary"" under Section 39?","Yes, if death was a known likely consequence (illustration applies)."
"What is the general definition of ""offence"" under Section 40?","A punishable act, unless context requires otherwise (e.g., special/local laws)."
"Under Section 40, when does the word ""offence"" include violations of special/local laws?","In Chapters IV, VA, and specific listed sections (e.g., 64, 109, 141, 176)."
"If State X passes a liquor ban, is violating it an ""offence"" under Section 40?",Only if punishable with 6+ months imprisonment (per proviso to Section 40).
"How does Section 41 define ""special law""?","A law applicable to a particular subject (e.g., NDPS Act for narcotics)."
"What distinguishes ""local law"" (Section 42) from ""special law""?","Local law applies only to a specific part of India (e.g., state-specific amendments)."
"Does ""illegal"" under Section 43 include civil wrongs like breach of contract?","Yes, if it furnishes grounds for civil action (not just criminal)."
"If a doctor refuses to treat an emergency case, is this ""illegal"" under Section 43?","Yes, if legally bound to treat (illegal omission)."
"How broadly does Section 44 define ""injury""?","Any harm illegally caused to body, mind, reputation, or property."
"Is defamation covered under ""injury"" in Section 44?","Yes, as harm to reputation."
"Does ""life"" under Section 45 include unborn fetuses?","No, only living human beings (per context)."
"If a person is brain-dead but on life support, does ""death"" under Section 46 apply?",Not explicitly defined; depends on medical/legal standards.
"Are pet dogs ""animals"" under Section 47?","Yes, all living creatures except humans."
"Does a raft qualify as a ""vessel"" under Section 48?","Yes, if designed to convey people/property by water."
"How is ""year"" or ""month"" calculated under Section 49?",According to the British (Gregorian) calendar.
"If a law mandates ""one month"" imprisonment, does Section 49 require 30/31 days?","Yes, as per the Gregorian calendar month."
"What does Section 50 clarify about ""section"" references?",It refers to numbered portions of IPC Chapters.
"Does ""oath"" under Section 51 include affirmations by atheists?","Yes, solemn affirmations are equivalent."
"What standard defines ""good faith"" under Section 52?",Actions taken with due care and attention (subjective + objective test).
"If a journalist publishes defamatory facts after partial verification, is it ""good faith""?",Only if due care was taken (case-specific).
"How does Section 52A expand ""harbour"" beyond shelter?","Includes supplying food, arms, money, or assisting evasion (even non-shelter aid)."
"If Z gives a fugitive bus fare to escape, is this ""harbouring"" under Section 52A?","Yes, as providing means of conveyance."
List all punishments under Section 53.,"Death, life imprisonment, imprisonment (rigorous/simple), forfeiture, fine."
"Why was ""transportation"" omitted from Section 53?","Abolished by Criminal Law (Removal of Racial Discriminations) Act, 1949."
"How does Section 53A convert ""transportation"" references in old laws?","""Transportation for life"" â ""Life imprisonment""; shorter terms â ""Rigorous imprisonment""."
Can the government commute a death sentence under Section 54?,"Yes, without offenderâs consent to any lesser punishment."
What is the maximum commutation for life imprisonment under Section 55?,Up to 14 years of either imprisonment type.
"Who is the ""appropriate government"" for commutation under Section 55A?",Central Govt for union-list offences; State Govt for state-list offences.
"If a state convicts a person for a Central law offence, who commutes the sentence?",Central Govt (per Section 55A(a)).
How is life imprisonment calculated under Section 57?,Deemed equivalent to 20 years for fractional terms (but no automatic release at 20).
Can solitary confinement exceed 3 months total under Section 73?,"No, 3 months is the absolute cap regardless of sentence length."
What is the maximum solitary confinement per stretch under Section 74?,14 days at a time with equal intervals between periods.
"If a 1990 judgment references ""transportation"", what punishment applies today?",Life imprisonment (per Section 53A).
Can a court impose 6 months solitary confinement for a 2-year sentence?,"No, max is 3 months total (Section 73)."
"How does ""good faith"" under Section 52 interact with ""negligence"" in Section 304A?",Good faith requires due care; negligence implies lack of it.
"If a local law defines ""month"" as lunar, does Section 49 override it?","Yes, IPCâs Gregorian definition prevails unless expressly excluded."
"Does ""forfeiture"" under Section 53 apply to inherited property?",Only if explicitly ordered by court (case-specific).
What happened to Section 58 after the 1955 Amendment?,"It was repealed by the Code of Criminal Procedure (Amendment) Act, 1955."
"Under Section 60, can a court impose both rigorous and simple imprisonment for one offense?","Yes, it can split the sentence (e.g., 1 year rigorous + 1 year simple)."
Why were Sections 61-62 repealed?,"By the Indian Penal Code (Amendment) Act, 1921 which abolished forfeiture as standard punishment."
What limits does Section 63 place on fines?,"Fines must not be ""excessive"" when no amount is specified."
"If an offense carries ""fine only"", can imprisonment be imposed for non-payment?","No, unless the specific section allows it (e.g., Section 64)."
How does Section 63 interact with special laws prescribing mandatory minimum fines?,"Section 63's ""not excessive"" rule still applies unless the special law overrides it."
Can a court impose a fine of â¹1 crore for petty theft under Section 63?,"No, that would likely violate the ""not excessive"" standard."
What was the original purpose of forfeiture under repealed Sections 61-62?,To confiscate property in serious offenses (pre-1921).
When must courts impose imprisonment for non-payment of fine under Section 64?,"Always, unless the offense is punishable by fine only."
What is the maximum default imprisonment under Section 65 for offenses with imprisonment+fine?,1/4th of the maximum imprisonment term for that offense.
"If the maximum sentence is 8 years, what's the longest default imprisonment for non-payment of fine?",2 years (1/4th of 8 years).
"Under Section 66, can default imprisonment be rigorous if the main sentence was simple?","Yes, it can be any type the offender might have received."
Does Section 68 allow early termination of default imprisonment?,"Yes, if the fine is paid or recovered through legal process."
How does proportional payment work under Section 69?,"If part of fine is paid, default imprisonment reduces proportionally (see illustration)."
"In the Section 69 illustration, if A pays â¹25 of â¹100 fine after 15 days, what happens?",Imprisonment ends after 1 month (proportionate to â¹75 unpaid).
What is the limitation period for fine recovery under Section 70?,"6 years, or during any longer imprisonment term."
Can heirs be forced to pay a deceased offender's fine from inherited property?,"Yes, if the property would be liable for other debts (Section 70)."
How does Section 71 prevent double punishment for composite offenses?,Offender can't be punished for both the whole act and its constituent parts.
"If 50 slaps constitute one assault under Section 71, what's the maximum sentence?",Only one punishment for the entire assault (not 50 separate punishments).
When can courts impose cumulative punishments under Section 71?,When separate acts constitute distinct offenses (illustration b).
What rule applies under Section 72 when the court doubts which of several offenses was committed?,Punishment for the offense with the lowest penalty.
Can solitary confinement be imposed for life imprisonment under Section 74?,"Yes, but total solitary â¤3 months and subject to interval rules."
How does Section 75 enhance repeat offender penalties?,Mandates life imprisonment or up to 10 years for certain repeat offenses.
Which Chapters trigger Section 75's enhanced punishment?,Chapters XII (coin) and XVII (property offenses).
"If convicted of theft (3 years) then robbery (10 years), does Section 75 apply?","No, unless both offenses are under specified Chapters."
"If X can't pay a â¹500 fine for simple hurt (Section 323), what's the maximum default imprisonment?","6 months (under Section 67, as it's ""fine only"")."
"Y receives 5 years for robbery + â¹10K fine. If unpaid, how long can default imprisonment last?",1 year 3 months (1/4th of 5 years under Section 65).
Z serves 2 months of a 6-month default sentence before paying half the fine. When is he released?,Immediately (as 2 months covers the unpaid proportion).
A judge imposes 1-month solitary for a 3-month sentence. Is this legal?,Yes (within Section 73's 1-month cap for â¤6 month sentences).
"Can a court order 15 days solitary, 15 days normal confinement, then repeat?","No, intervals must â¥ solitary duration (Section 74)."
"If B commits forgery (Chapter XVIII) after prior theft (Chapter XVII), does Section 75 apply?","No, both must be under XII or XVII."
How does Section 71 protect against prosecutorial overreach?,Prevents stacking charges for components of a single criminal act.
"What is the key requirement for Section 76's defense of ""bound by law""?","The person must believe in good faith they are legally compelled to act (mistake of fact, not law)."
"If a soldier obeys an illegal order to shoot protesters, does Section 76 apply?","No, unless he genuinely believed the order was lawful (mistake of fact)."
How does Section 77 protect judges?,"Grants immunity for judicial acts done in good faith, even if jurisdiction is lacking."
Can a magistrate who unlawfully detains someone claim Section 77?,Only if they believed they had jurisdiction (good faith required).
What is the scope of Section 78's protection for court orders?,"Covers acts done under any court order, even if the order is later found invalid."
"If a bailiff executes a void warrant, is he protected?","Yes, if he acted in good faith belief in the warrant's validity."
How does Section 79 differ from Section 76?,"Section 79 covers acts justified by law (e.g., self-defense), while 76 covers mistaken legal duty."
"If A mistakenly thinks B is a thief and apprehends him, what defense applies?","Section 79 if the mistake was factual (e.g., misidentification)."
"If a carpenter's tool slips and kills a bystander, is it an ""accident""?","Yes, if all Section 80 conditions are met (illustration applies)."
How does Section 81 balance harm prevention vs. harm caused?,Allows causing lesser harm to prevent greater harm if done in good faith.
"If a doctor amputates a limb to save a patient's life without consent, is it justified?","Potentially, if immediate necessity and good faith exist (Section 81 principles)."
What is the absolute defense for children under Section 82?,No offense can be committed by a child below 7 years.
Can a 6-year-old be charged with theft?,Never (Section 82 is absolute).
What test applies to children aged 7-12 under Section 83?,"Whether they attained ""sufficient maturity"" to understand the act's consequences."
"If a 10-year-old steals candy knowing it's wrong, are they liable?","Yes, if maturity is proven (fact-specific inquiry)."
